end_time,artist_name,track_name,ms_played,id
2021-03-20 15:49,Dua Lipa,We're Good - Dillon Francis Remix,64650,
2021-03-22 11:14,DJ Khaled,Don't Quit (feat. Travis Scott & Jeremih),229146,
2021-03-26 22:05,DJ Khaled,Don't Quit (feat. Travis Scott & Jeremih),229146,
2021-03-26 22:16,DJ Khaled,Don't Quit (feat. Travis Scott & Jeremih),116,
2021-03-27 13:21,DJ Khaled,Don't Quit (feat. Travis Scott & Jeremih),229146,
2021-03-30 02:42,Fleetwood Mac,Don't Stop - 2004 Remaster,88746,
2021-04-02 16:56,DJ Khaled,Don't Quit (feat. Travis Scott & Jeremih),1578,
2021-04-02 18:01,The Joe Rogan Experience,#1609 - Elon Musk,313296,
2021-04-03 16:19,Lil Peep,I've Been Waiting (w/ ILoveMakonnen & Fall Out Boy),92,
2021-04-03 19:27,Bill Medley,"(I've Had) The Time Of My Life - From ""Dirty Dancing"" Soundtrack",290333,
2021-04-05 11:10,Chiiild,Awake (with Mahalia),22170,
2021-04-07 18:30,DJ Khaled,Don't Quit (feat. Travis Scott & Jeremih),229146,
2021-04-11 02:25,DJ Khaled,Don't Quit (feat. Travis Scott & Jeremih),229146,
2021-04-11 03:20,Lil Peep,I've Been Waiting (w/ ILoveMakonnen & Fall Out Boy),233613,
2021-04-13 03:37,FINNEAS,Can't Wait To Be Dead,1130,
2021-04-14 18:26,DJ Khaled,Don't Quit (feat. Travis Scott & Jeremih),229146,
2021-04-23 01:12,FINNEAS,Can't Wait To Be Dead,21914,
2021-04-23 20:39,DJ Khaled,Don't Quit (feat. Travis Scott & Jeremih),229146,
2021-04-25 18:00,DJ Khaled,Don't Quit (feat. Travis Scott & Jeremih),229146,
2021-04-27 02:57,Metro Boomin,Don't Come Out The House (with 21 Savage),2580,
2021-04-28 01:49,Elton John,I've Seen That Movie Too - Remastered 2014,67669,
2021-04-30 18:52,DJ Khaled,Don't Quit (feat. Travis Scott & Jeremih),229146,
2021-05-02 02:35,Lil Peep,I've Been Waiting (w/ ILoveMakonnen & Fall Out Boy),106971,
2021-05-02 03:03,DJ Khaled,Don't Quit (feat. Travis Scott & Jeremih),229146,
2021-05-08 14:49,DJ Khaled,Don't Quit (feat. Travis Scott & Jeremih),229146,
